Name,Review,UpVotes,Rating,Date
,,,,
Anmol Bhat,"Dear Paytm, I am working in island and camera phone is prohibited here and I was using this app from long time to pay my Indian bills but unfortunately after update it is not working due to location problem... So please solve this issue as soon as possible �",3,Rated 1 stars out of five stars,"April 23, 2020"
,,,,
Paytm - One97 Communications Ltd.,One of the worst app. This app automatically logging out .what's the problem with this app. I have experienced twice this condition that app automatically logging out.Then after when I trying to log in the app says your password is wrong and try again.,9,Rated 2 stars out of five stars,"April 23, 2020"
,,,,
P KAVEEN,"this new update is not working properly. When I open the app, I cant see the different icons of recharge,dth,electricity etc. My wifi connection gives a speed of 25mbps, I think there is a problem in the app.",5,Rated 1 stars out of five stars,"April 10, 2020"
,,,,
Paytm - One97 Communications Ltd.,"Complex and cheap app now.. they are charging fees for everyrhing.. why? Why are u killing digital India intiative.. also they have commercials everywhere.. hard to find the right content..even this app tricks you to click on to buy home insurance etc.. in a shrewd manner... Will reduce the usage to...
Full Review",4,Rated 1 stars out of five stars,"April 10, 2020"
,,,,
neeraj mani,"Banks tab in the Paytm app freezes frequently, this is most irritating thing of the current version of the app, so I request you to solve this problem immediately because due to which I am not able to use bank related functions.",5,Rated 1 stars out of five stars,"April 19, 2020"
,,,,
Paytm - One97 Communications Ltd.,New updated version doesn't have feature to scan qr from gallery. How one can make payment to another merchant without physically having qr code in this quarantine period. Previous version has the gallery option so i recommend plz change the updates of this version.,3,Rated 3 stars out of five stars,"April 19, 2020"
,,,,
Harsh Raj,"I never win in any of the games in the game zone , I just win some gems .But I regularly visit the leaderboard, most of the time the same person is on the top, there is a group of people who are always on the top. Whether it is guess what or cricket battleground or snake smash. You must make a rule ...
Full Review",929,Rated 4.5 stars out of five stars,"April 20, 2020"
,,,,
Rohit Singh,"Further to my earlier complaint regarding live gameplay (crazy cannon), Flipkart has changed their strategy now. Instead of showing old message after first round regarding exiting the app during gameplay, they now do it after second round and put the onus on weak internet connectivity. Edit on 28/4:...
Full Review",111,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Utsab Banerjee,"Very disappointed to see the incompetency level of flipkart. They don't even care what you write in your review. I had written a past complaint about the and abrupt stoppage of the crazy cannon game but they simply did not fix the problem. Just the reason for stoppage has changed and says weak conne...
Full Review",250,Rated 1 stars out of five stars,"April 25, 2020"
,,,,
Sonu Sharma,"The App is very poorly designed for support. I don't have options to add my own email Id to my existing account. It says my email Id is already in use. Even if it is in use, you should do a quality check. How is it possible that somebody else other than me is using my email address now to order from...
Full Review",352,Rated 3 stars out of five stars,"April 18, 2020"
,,,,
NEXT STAR,"The problem is in the gaming section.we manage our time to play the crazy canon at the intended time but after completion of one level ,we are encountering with errors and getting exited from the game even having good internet connection,you could fix the problem or can replace the game with other,B...
Full Review",226,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Saira maheen,"The game zone is the worst.I play crazy cannon.At first I thought it was due to my network connection but even though I am on good connection ,after 1st round it shows ""oh snap!!!"" seriously it irritates me a lot. Please fix this issue as early as possible.",18,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
B vazheri,"The app got feature like playing games nice!, but if you start winning the games they will block your device plus account permanently from playing games. One of best example of fraudness , I have tried to speak Flipkart cc but they've confirmed me that , they can block anyone from playing their game...
Full Review",146,Rated 1 stars out of five stars,"April 18, 2020"
,,,,
MAK Tech,"For purchasing this is good application,Now they started games in it.I was playing all the games and earning gems which can be converted to supercoins.But now they reduced the number of winner's per game also there is no benefit for playing cricket battleground if we can't able to reach below 3,500 ...
Full Review",75,Rated 1 stars out of five stars,"April 25, 2020"
,,,,
S Y,"Hello sir, my experience in flipkart has gone better to worse. Since last 10 days everytime I have opened the app and then game section it is showing ""we encourage fair play......"" &""Something went wrong"" . Would you like to tell me what's the original problem? I have even updated the app with lates...
Full Review",152,Rated 3 stars out of five stars,"April 24, 2020"
,,,,
Arya Kumar,"From recent days I'm playing crazy canon at his usual time but after the completion of the 1st level it shows that (oh snap) and the game is stopped and show the option of go to the main menu. It show that Flipkart is wastage of time and I'm a Flipkart plus member with 456 supercoins and my Flipkart...
Full Review",41,Rated 1 stars out of five stars,"April 17, 2020"
,,,,
A Google user,"This app has something called game zone where you can play a game named as live crazy canon and can win prizes . Whenever I tried to play live crazy canon game after one level of playing they just crash the game with a screened display that ""existing app during the gameplay can cause this issue"".So ...
Full Review",376,Rated 1 stars out of five stars,"April 14, 2020"
,,,,
Rohit Pathak,"One of the worst app for supercoin games. You can order your products through this app. Whenever I play their supercoin games and making high-rank then their pop-up message shows on screen ''you don't have proper internet connection"" (I have good internet service) and then my game exits automaticall...
Full Review",125,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Anime Doze,"Editing my review. Definitely not happy with the game in Flipkart, at first i thought there's problem with my network but its not, the app crashes all the time when i play really good in crazy cannon. So disappointed cos my network is completely fine, i use flight mode and connect to wifi just for t...
Full Review",297,Rated 1 stars out of five stars,"April 18, 2020"
,,,,
Aparna Patil,"The overall app is good. But nowadays I m having issues in game crazy cannon. I started playing tournaments as 1st round gets clear it directly shows me some issue has occured and doesn't allows me to play the next round. Disappointed ..plz fix this issue asap. Few days ago I requested through this ...
Full Review",473,Rated 3 stars out of five stars,"April 16, 2020"
,,,,
Swaroop Trader,"read it zero star... Pathetic game zone....games are hacked so that no one can get benifit...crazy cannon and cricket throw u out showing poor signal..all cheating in guess what..now they have reduced the gem you get to conver into super coin.. seriously cheating...no policy on this ....clear cheati...
Full Review",35,Rated 1 stars out of five stars,"April 18, 2020"
,,,,
Kartik singh Kushwah,"Very very bad app. Earlier the flipkart games used to run efficiently on my phone. But since last many days the app is showing many technical issues that are to be fixed to help mass participation of people in the fun zone of flipkart. Whenever I take part in any online game of flipkart like crazy c...
Full Review",268,Rated 1 stars out of five stars,"April 11, 2020"
,,,,
Alok,"The things getting worst day by day after the current update im not able to play a single game from Crazy Cannon game section the things are all ok till 1 level and after the times up the game automatically throwe me out of game and show error oh snap.... and the game end plz improve it.Im very much...
Full Review",17,Rated 1 stars out of five stars,"April 20, 2020"
,,,,
Amit Kumar,"The crazy canon game in round 1 always gets disconnected on its own...why the bug is not being fixed...I have a very stable internet connection..but the app is not utilizing it...it seems Flipkart is cheating people in name of game zone to popularise the app as against amazon but don't offer any rew...
Full Review",257,Rated 1 stars out of five stars,"April 13, 2020"
,,,,
Nripendra Srivastava,"Extremely poor support. Super coins getting auto deducted and unwanted vouchers redeemed (4 times this has happened). Support people say that without redeeming it can not be deducted...when I asked maybe some software error...they are not ready to agree...not redeemed any voucher that was forcefully...
Full Review",16,Rated 1 stars out of five stars,"April 18, 2020"
,,,,
Premkumar T,"Ther is a section named Game zone in this app.thts totally cheating. There is a game called Snake Smash which is totally different for different users..it is designed only for some players to score high score. for most of the accounts on 8,9,10th stage only two powerups each level is coming.but for ...
Full Review",50,Rated 1 stars out of five stars,"April 13, 2020"
,,,,
VIKAS SONI,"Very Frustrated Game Jone In this App I played daily three times a day crazy canon every time i am existed without any reason . It happens with me daily I don't know why? And many games like guess what and snake smash how can topper score 2170 always ... He Answers every question within 3 sec. First...
Full Review",622,Rated 1 stars out of five stars,"April 16, 2020"
,,,,
Clash Clans,"I wont use flipkart pay later after the lockdown even at hard times because the time we all needed right now at the covid times its not functional , they knew its hard to repay the dues so they stopped the pay later . I wont use this feature anymore because at times when i needed you guys betrayed p...
Full Review",,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
John Prashant,"While the app itself has matured and stabilized over the years, what made me rate it for the first time since it was launched was upon seeing how much better Flipkart handled supplies of essential goods during the Covid-19 lockdown period when compared to the American e-commerce giant who borrowed i...
Full Review",36,Rated 1 stars out of five stars,"April 15, 2020"
,,,,
Mehul V,"1 star for the new RECHARGE and Payments. The transaction atleast fails once. Also the supercoins which you are getting is for 2 transactions per category. Even if the transaction is failed your chance is gone. So neither the recharge will be done nor you have another chance for getting the supercoi...
Full Review",559,Rated 5 stars out of five stars,"April 16, 2020"
,,,,
Shyamapada Das,This is I say a bad app for me.this app is not give us a good game connection to play.l have scored a big and became to win in the cricket battleground game but every time I was defeated for that reason. So I requested flipcart to see this........�����,1,Rated 1 stars out of five stars,"April 23, 2020"
,,,,
Harish Yadav,Crazy canon game during live contest hangs after 1st round and and shows gliches as oh snap etc and I am not been able to increase fire power and Canon strength as it shows maxed out. Many people facing this problem. Please fix this issue at earliest.,14,Rated 1 stars out of five stars,"April 19, 2020"
,,,,
Urgain Thustop,"Hey flipkart i really need to change my regestered phone no. Since its lost and i have no longer access to it to get my otp. Why is it so hard to just change my number. Its been years now and my problem hadn't been solved. I'll appreciate if you help me with my problem I've tried chat support but th...
Full Review",3,Rated 5 stars out of five stars,"April 26, 2020"
,,,,
Ashitosh Dhainje,Fix the bug in crazy Cannon Game . It Automatically stop playing after 1st round ends . Problem started from last 10 days . Please fix it asap. Edit: now I'm not able to open crazy Cannon Game . Fix this issue asap .,22,Rated 1 stars out of five stars,"April 21, 2020"
,,,,
susanta bhanja,"Buggy app with buggy games. What a development. Inventing new bugs each time. Now a new bug in Crazy cannon game. In round 3, I get a blank screen with no balls falling. Just a cannon shooting at empty screen.",5,Rated 1 stars out of five stars,"April 18, 2020"
,,,,
anjitha soman,I think there is a problem in this app.. recently i can't use this app by wi-fi network.. always say's that " something went wrong.. retry ". I already tried to uninstall and reinstall process Still it doesn't wrk..,6,Rated 1 stars out of five stars,"April 16, 2020"
,,,,
PUSHPENDRA KATARA,I am flipcart plus member.But i am facing problem in flipcart game section.it is shown that we encourage fair play in line with our terms and conditions.But I follow every condition related to flipcart.please tell me that how I resolve this problem.,,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
R T,"My account was blocked on dated 20th march, I tried to call on care number but care support centre is very poor, they did not give me any details about it till date. I am so annoyed, and can not log in to my account and I had placed many orders but due to blocked account, I can not see status of the...
Full Review",,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Bhanu Chandar Boorle,"From last 5 days I am not able to play cannon fire, snake smash. Screen is getting hanged once i click play option fior both games.not able to go back . Only thing is i need to close and open the app.",4,Rated 1 stars out of five stars,"April 24, 2020"
,,,,
Gnana Chowdary,Very disappointed with Games section. Every time while playing Crazy Cannon I am getting some type of errors after first level and the game is exiting. If u can't fix this remove the game why are u wasting our time.,6,Rated 1 stars out of five stars,"April 16, 2020"
,,,,
Rajesh G,App is very slow. If you go back it is having loading issues. Getting frustrated on loading issues. Ask testers to test perfectly.,5,Rated 1 stars out of five stars,"April 18, 2020"
,,,,
Pradeep Kumar Reddy Chanda,One of the famous app for worst service. I think every product and service is fake. Use this app services only when all other options exhaust after that be prepared for worst service and customer service. Quality of services and products are below average.,5,Rated 3 stars out of five stars,"April 24, 2020"
,,,,
Sanjeev Shirsate,"These online shopping app is awesome, and have a lots of features, offers on shopping. The Supercoins system is really good. Throught these we can reedem any online web platform and others apps use with supercoins. And I request to flipkart PLZZ add the online platform like Amazon prime, Netflix so ...
Full Review",11,Rated 1 stars out of five stars,"April 22, 2020"
,,,,
Chirag Agarwal,This is the best online shopping app in India.Though it is sometimes products are costly compared to other ecommerce applications. But one of the best hilighting thing of this application is its UI it is the best.Very user friendly and easy to use,2,Rated 5 stars out of five stars,"April 25, 2020"
,,,,
Milan sahu,"Dear , Flifkart team and management I have facing a problem before one month that I couldn't login to my flifkart account and I don't know why I can't logged in to my account.I have also complained a lot but no response from your side. If possible this is my last email I don't have time to complaint...
Full Review",,Rated 5 stars out of five stars,"April 28, 2020"
,,,,
Mandalika Srirama murthy,There is a problem on iphone6 ordering. Valid period of card in months is not showing beyond figure 9. On android it is really smooth and fast.,,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Mahesh Waran,I'm having better network but why this application crashes frequently ...? Sir Please fix this issue ☺️ otherwise no complaint at all.... Have a good day whoever read this�,2,Rated 5 stars out of five stars,"April 22, 2020"
,,,,
Bharani Raj,"The new update really suck, the app is not working properly. When I look for something, the images are loading and am not able to view.",2,Rated 2 stars out of five stars,"April 21, 2020"
,,,,
punit saharawat,Paylater service is superb i was using from last 2years. Without any extra cost. It is so easy to purchase item when you need.,2,Rated 3 stars out of five stars,"April 26, 2020"
,,,,
Something Different Life by sudhira,"This is very easy and simple shopping application and now a days In this game, you can win a lot of prizes everyday by playing games, in this delivery is very fast, so I play Thanksgiving game on Flipkart daily. Jai Hind",1,Rated 5 stars out of five stars,"April 25, 2020"
,,,,
Arun Kumar Bachar,This is the best shopping app for me. I love the super coins and love to play the games. Also the new idea and videos section are good. This app gives returns easily and delivers products perfectly.,13,Rated 5 stars out of five stars,"April 19, 2020"
,,,,
Sufyan Reshamwala,"Most of the basic essentials were not available on the online platform, this gave us the clear msg that the local shops near us are much more helpful during anyone's crisis situation, and the overall service of yours is worst as per my experience.",5,Rated 5 stars out of five stars,"April 21, 2020"
,,,,
GOPAL KARMAKAR,One of the ugliest app.it cheated me..I have a 50% discount recharge/bill payment voucher which has a validity till 7 th may'2020 but today it shows expired. I will never use it again.,1,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
rajesh kumar,"Flipcart has always help me. Genuine product, on or before time delivery, safe packeging, good customer service are some of the features of flipcart. Please add more product which I can buy through super coins.",3,Rated 1 stars out of five stars,"April 25, 2020"
,,,,
Shrey Nagpal,The game zone does'nt work after the lastest update and the app is using Hindi language by default even after switching it to english several times. Please fix the issue,1,Rated 4 stars out of five stars,"April 25, 2020"
,,,,
Ajaykumar Pustala,Worst experience. No one is bothered call you ans they don't update about the product. I had lot of interest in buying products in flipcard. But now they are misusing . By mentioning wrong date and time.,2,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
Meghna Singh,"This is one of the best delivery app...so many times much better than Amazon also! The process are sometimes unexpectedly cheap with do much discounts... It's almost unbelievable!!! I love Flipkart for kids quick delivery, it's nice collection of products and superb discounts",43,Rated 1 stars out of five stars,"April 14, 2020"
,,,,
Kannan T,"This app has something called GameZone where you can play and win prizes. I scored significant runs in cricket and thought I would be eligible for the prize. But it didn't get save. This happened twice at different times of the day. Also in other games if you play exceptionally well, it will crash s...
Full Review",661,Rated 5 stars out of five stars,"April 9, 2020"
,,,,
Travel & Tech,Heating issue : Ever since the new update i am experiencing heating issue with my phone OP7. This new updated version is battery hungry too.,1,Rated 1 stars out of five stars,"April 20, 2020"
,,,,
Shiraz Ahmad,"Superb experience, easy to navigate and plenty of choices of products.",,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Aashique Zillani,"Game zone is going worst day by day... Each time while playing crazy cannon, I get exited in the middle of the game without any reason.... Fix these issues",3,Rated 5 stars out of five stars,"April 19, 2020"
,,,,
Vijay Goti,"Whenever I play canon game, it's crushed and some kind of error like that exiting game cause this issue.",4,Rated 1 stars out of five stars,"April 16, 2020"
,,,,
MURALI JOSHI,There is no cashback in this application. And rates are also higher than other platforms. Other platforms also provides cashback..,24,Rated 1 stars out of five stars,"April 15, 2020"
,,,,
Aruna Ghodekar,The crazy cannon tournament keeps glitching. It displays a message saying that I can't play cause I exited the app even though I did not. This happens after playing the first round of tournament. And it isn't the first time it happened. Very disappointing especially when I'm bias towards flipkart.,614,Rated 1 stars out of five stars,31-Mar-20
,,,,
A Google user,"Previously I gave 3stars... But now Changing to 5stars for including so many features, fresh and new items in many categories. Electronics deals are also good. Delivery on time.",3,Rated 3 stars out of five stars,"April 25, 2020"
,,,,
mayur mane,Good app for online shopping. But sometimes prices are much more than selling items.,,Rated 5 stars out of five stars,"April 28, 2020"
,,,,
Technology Gyan,It is the best app for shopping and watching movies . It does not take money from us. Overall the is excellent,,Rated 4 stars out of five stars,"April 27, 2020"
,,,,
Madhuchhanda Chakraborty,"Shopping experience good (not great, not bad but good). Very prompt delivery and mostly good condition products. I keep the app mostly because I enjoy playing the games. And now there's this constant glitch that exists me from the Crazy Canon tournament saying that I had exited the app although I ha...
Full Review",249,Rated 5 stars out of five stars,"April 3, 2020"
,,,,
Praveen Kumar,"Want to rate 0.00 While playing ""Crazy Canon"", a message ""The game edition has ended. Exiting the app during the game play can cause this issue"". 1. I didn't exited the app at any point during the play. 2. This message is popping at least once a day. 3. Even many of friends encountering the same.",186,Rated 3 stars out of five stars,"April 2, 2020"
,,,,
Mohammed fayaz,Worst app.... Amazon is far better than this...its completely Waste of time. No proper service... No customer service.. It has got nothing.. This app is only good at showing adds on TV... But in reality it's worst..,3,Rated 1 stars out of five stars,"April 17, 2020"
,,,,
Manish Riju,"While playing CrazyCanon, the game crashes by displaying that the game edition has been expired. This is the worst happening since long on flipkart.",1,Rated 1 stars out of five stars,"April 19, 2020"
,,,,
Shaikh Alamin,"Hello Flipkart , I have open of the games in this app guess what I play every day but other users it play very fast and they answered in 3 sec and did score 2175 but not possible they hack the or u Flipkart owner planned it to winning your self fake game ����",3,Rated 1 stars out of five stars,"April 19, 2020"
,,,,
Amisha Shah,"This is a very amazing app that I can not described it. It is giving the citizen very good service. There are many TV shows in this app. So that we can see it in this app. It is giving very special and good importance to the citizen of India. It has also started to make videos on it. And they can wi...
Full Review",1,Rated 1 stars out of five stars,"April 20, 2020"
,,,,
TECHNOLOGY by Subhendu Das,"Very bad . I am unable to use cash on delivery payment method i contacted customer service but they're not helping always said that COD depends on many factors but in another account cod option available in same pincode and product. They cheated with me . I have also contacted for pickup and date is...
Full Review",10,Rated 5 stars out of five stars,"April 14, 2020"
,,,,
Mahesh R,Very good App!!!!.. Whatever i am Ordering products are receiving it's very good condition & very good products. Thank you!!!@,5,Rated 1 stars out of five stars,"April 22, 2020"
,,,,
Mohammadsadik,Not working games and recharges application please do needfull.. And also game are running bus some how closed game and not properly playing games Very badly experience last 2 to 3 day in flipkart application....,4,Rated 5 stars out of five stars,"April 19, 2020"
,,,,
Rashu Verma,"Very bad experience. Forgot my password to log in and it kept showing an error due to which I could not change my password for some strange reason. Spoke to the support centre executive like 5 times - they asked to email my id which I did. And all they do is send me an SMS saying 'your problem is re...
Full Review",542,Rated 1 stars out of five stars,"April 4, 2020"
,,,,
Arun Nayak,"Comparison to other shopping app, here valueable prices are available and also have a interesting features.",2,Rated 1 stars out of five stars,"April 23, 2020"
,,,,
Aashish Badal,Yesterday I got some recharge coupons that were valid till 7 may but today I checked them and their expiry date was changed to 27 April that has already passed . This is total fraud why did you give coupens when you don't want us to use them,1,Rated 5 stars out of five stars,"April 28, 2020"
,,,,
Amol Shrawankar,Crazy Canon Exiting without any reason. And guess what game top score is impossible. Overall Shopping experience is good.,1,Rated 1 stars out of five stars,"April 19, 2020"
,,,,
Mohan Hfhbhunbu,Some times items are cheaper than Amazon. Your offers are better and cheaper. But grocery items are little bit costly. Overall experience is very good.,24,Rated 2 stars out of five stars,"April 14, 2020"
,,,,
anil oza,Flipkart games has many bugs. Crazy canon most of the time crashes after round 1 or 2 in games conducted on 6 and 9 pm. Please fix these game bugs.,14,Rated 5 stars out of five stars,"April 11, 2020"
,,,,
Seema Rao,"I loved this Online shopping app. Goid products. Awesome deals. Good quality. Good and fast delivery, but only sometimes gets delayed. But fine. Its cool. No problems or issues with any product. Easy and quick login to the app. The best online shopping app. Good job. I loved it.",508,Rated 1 stars out of five stars,"April 9, 2020"
,,,,
Prashant khambadkar,"When I search some things it shows data error ,while the internet was running good. BUT earlier this app don't want more data.������ LOL.",3,Rated 5 stars out of five stars,"April 16, 2020"
,,,,
Jyostnamayee Mallik,"Now no more related options are there in a single products. The last update was the best . In this update limited options are there to choose , very bad",2,Rated 1 stars out of five stars,"April 19, 2020"
,,,,
Anita Verma,"lts the best app for buying goods online.very happy� about it but one thing i would like to say is that you should add more value added products and also some products have their prices more than the MRP, u should definetly give an ear to that.",2,Rated 1 stars out of five stars,"April 21, 2020"
,,,,
JoAnn Dyson,"I love Tiktok. It's an amazing and easy platform to express yourself. My only problem with it is, it's only showing everyone the same thing. Theres no more diversity on the app. Now it's so hard for small creators to get noticed with all the celebrities on there. It's just getting boring at this poi...
Full Review",1100,Rated 4.5 stars out of five stars,"April 29, 2020"
,,,,
Dipika Bhadange,"Hii tik tok team... I love this app and I am very active on it too.. I post videos daily and I also my account to a pro account. But the problem is that, Some filter and template (like double exposure, my puzzle etc) not show in my account (dipika_2510) ... Please help me to to solve my problem tik ...
Full Review",656,Rated 4 stars out of five stars,"April 29, 2020"
,,,,
Liza Tulua Algee,"This app is so amazing and so much fun! You can find almost anything you're looking for from sports, to makeup, to diy, to singing, to reactions, etc! It personalized experiences for you, which makes it even more amazing! You can even send videos to your friends, and editing is super easy and fun! M...
Full Review",1054,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Sachin Singh,"Hello, tiktok team.I love very much this app. This app is amazing. But the problem is that my account (Sachinsingh5001) is fully Freezed. I post videos(3 to 4) daily and i also my account to Pro account.I do a lot of hard work but after some days my directly went down. I think that my videos does no...
Full Review",12,Rated 5 stars out of five stars,"April 29, 2020"
,,,,
CC Games,"Its alright, i miss when it was musical.ly and it revolved around art forms. Back when it wasnt based around getting famous and having clout. Great effects and sound clips, I love it. But it needs to stop being so modeled around media. I wish it was about doing what you loved instead of seeing the s...
Full Review",50,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Kritika singh,"Its a very good app but the only thing I want is views !!!! Why i am not getting views ??? Even when i worked hard . Plz give me a solution for this as i am very disappointed with this ! Just give views atleast 100 views should be given ! Whereas i m sometimes only getting 5 . i think the views shou...
Full Review",57,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Sital Patro,"I am using tiktok from last 1 year, and as per the privacy i am already 25 years old, but till now i didn't have the LIVE features option enabled for me, and i tried many times to report the problem in tiktok, but i didnt get any reply back from the team., can any body plz help me to get it enabled....
Full Review",14,Rated 4 stars out of five stars,"April 29, 2020"
,,,,
Andria Hamilton,"Super fun! You can make tons of friends and tons of videos on here. I used this app once for a school project because of the way you can cut the video and add text to it. The only down side is there is some sketchy accounts on here and the moderation system is messed up. It takes down videos with no...
Full Review",39,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Blaine C,"Mods need to be more consistent.. or consistent at all would be better. Too many times I've witnessed firsthand the app telling me a video doesn't exist when it does. The app will let me watch the video and there was nothing inappropriate about it. Yet I can't like or comment on the video because it...
Full Review",627,Rated 4 stars out of five stars,"April 24, 2020"
,,,,
Md milon Ali,"I believe this is app amazing. tha quality is outstanding and, there is no ads for me this app is the absolute perfect thing to waste or pass time. it is very addictive and can't teach you new ways to do things how to make new things. it also provides entertainment and challenges. you can use your c...
Full Review",212,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
Gacha Rose,"This app used to be fun then people started getting verified and giving a lot of people (including me) an unfair advantage. I love this app but some people don't have the lighting or stuff to make good videos. One more thing, lots of people want to go live for at least some of their followers but ca...
Full Review",6,Rated 5 stars out of five stars,"April 29, 2020"
,,,,
Chai Chen,I've been with Musically since 2015. I deleted the app from my previous phone though it already was switched to Tiktok few years back. Just to free up space. When I downloaded Tiktok here in my new phone but then I cannot login with my old account anymore. I had to create a new account in Tiktok. :(,28,Rated 3 stars out of five stars,"April 29, 2020"
,,,,
Anthony Adams,"I love this game!! It has so many genres that just entertain you!! I swear, I want so many other people from around the world to download this Facebook like game, where there isnt that much non-freindly content!!! I really recommend this game!!!",33,Rated 4 stars out of five stars,"April 29, 2020"
,,,,
hemant pareek,"Nice app i love it so much. There is too much fun. But there is one problem i reported many times but there is no reply from tiktok team. I also send many time msg to tiktok but still there is no reply. I have 162.7K followers and 1. 0 M Likes but there is no live option button enabled on my tiktok....
Full Review",199,Rated 5 stars out of five stars,"April 27, 2020"
,,,,
Kashu Singh,"I am a huge fan of this app,but sometimes it is very disappointing because after doing such a great work suddenly your followers and views drops drastically,my account is also doing well but just after getting good numbers of views and followers suddenly views and followers both start drops,and seem...
Full Review",24,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Jean El Masri,"I'm in love with this app but please work on fixing the below: _ Many filters are not available in middle east like the drag queen and much more _searching for filters takes too much time as they don't have names it is hard to download each one to see what it does and some of them just stop loading ...
Full Review",127,Rated 3 stars out of five stars,"April 26, 2020"
,,,,
Komal Kashish,"Tiktok should remove the watermark when the person download their own vedio... and when other person try to download its ok to get this watermark. Its really irritates me when I get a 30 - 50 view only in my good vedio, mine every vedio is under review, and I dunno what should I do when I see @cuteb...
Full Review",3,Rated 3 stars out of five stars,"April 29, 2020"
,,,,
QuartzFoxxy _,"Tik Tok is the best app ever! It's easy to use and you can always watch your favorite creators, and create short videos yourself, and even make new friends. Tik Tok is really great and helps connect others. You can gain followers and boost your confidence with this amazing app. I really love Tik Tok...
Full Review",27,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Symone Villarreal,"This app is amazing I love it Soo much you can even find things about chemistry ,science,biology,zoology, and more !There is even art things you can find art tutorials ,and for the gurus y'all have Jefree star ,James Charles and makeup tutorials etc!!!There is even the latest dancing and fashion tre...
Full Review",103,Rated 5 stars out of five stars,"April 27, 2020"
,,,,
Anjali Pachouri,"Hi.. I love this app but my videos has no view. I did a lot of things I made a lot of videos l've given lot of time you do not see us these problem. I fell bad that I don't get anything from where I spend so much time I have made many compliments but no arrangement has been made because of this , ma...
Full Review",92,Rated 5 stars out of five stars,"April 25, 2020"
,,,,
Savannah Smith,"As much as the app is fun to use, there are some glaring downsides. First, the creators of this app have said that they actively block or shadowban videos of LGBTQ+ members, people of color, people with mental health issues or scars, and people considered ""overweight"". Also, TikTok has started to co...
Full Review",122,Rated 3 stars out of five stars,"April 26, 2020"
,,,,
tribeni das,"I love this app but i have found some problems using the app as I am very active in it but i don't get many views on my videos I get 20 to 40 views on average on my videos. Even after posting the problem with tiktok team in the app my problem is not resolved. I see videos with no beauty and creativi...
Full Review",140,Rated 2 stars out of five stars,"April 25, 2020"
,,,,
Priyanka Rajpal,Nice app. I lv it so much. There is too much fun. But there is two problems. I have 3500 followers but there is no live button enabled on my tiktok. I saw many people there 1500 followers and they have live options. Please resolve this problem. Thank you,15,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Maddy roy,"its really fun, but easy to get into if you are under 12 years of age. but great for ages all the way up to 100! the songs that are included are suitable for any taste. pop, trending,country, plot twist, funny,sad and any other type of music. my account is @maddyroy_2020 if you'd take a few seconds ...
Full Review",2126,Rated 1 stars out of five stars,"April 27, 2020"
,,,,
Sumit kumar,"Hello sir dear TikTok management and developer this app is best and ultimate entertainment app. I use this since 2018, good experience. You won't believe I use all daily data on this to watching and making videos. My biggest problem is my every video can't reach above 50 views, so solve my problem. ...
Full Review",9,Rated 4 stars out of five stars,"April 29, 2020"
,,,,
Yasmin C,"As much as I like the idea of TikTok and I love creating videos...the AI's programming is too rigid and selective to allow for creaters to build rep...it expects instant popularity otherwise sometimes your vids will be on the for you page and sometimes not at all nothing to do with the hashtags, gen...
Full Review",13,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Mad Max,"Honestly, tik Tok good app to make you laugh but other than that it's horrible, you have to have over 1000 fans to go live. It's very hard to get fans when you're not famous on anything else. And it takes up a lot of your battery. I'm like most of the people suck on their, so I suggest just don't do...
Full Review",372,Rated 1 stars out of five stars,"April 24, 2020"
,,,,
The Warden of the West,"It good to watch stuff on,bit trying to make a video on it is terrible the editing on the app is shameful and they should really try to make it better for example you pick slideshow and it just let's you put pics in a pick a sound and add some basic filter nothing else can't control the speed it goe...
Full Review",186,Rated 1 stars out of five stars,"April 25, 2020"
,,,,
jaanvi kridha,"Hi... I love this app and i am very active on it too. But the problem is that i dont get many views or likes on my videos. Even i dont get many followers too. I am very tired of seeing this all the time. I am posting my videos with lots of effort only in hope that i will get likes, followers and lot...
Full Review",12,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
